Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"NDS","VideoGame",1,0,0,"50 Classic Games","Destineer","cerasus.media GmbH","02/20/2019","CIB","4.99","7.33","12.01","7.33","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Bomberman","Ubisoft Entertainment","Racjin Co., Ltd.","02/08/2020","Loose","10.95","15.27","23.97","10.95","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Castlevania: Portrait of Ruin","Konami","Konami","09/01/2019","Loose","42.48","60.69","115.88","42.48","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Children of Mana","Square Enix","Square Enix","09/01/2019","Loose","18.22","34.98","63.64","18.22","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Classic Action: Devilish","UFO Interactive Games, Inc.","null","04/27/2019","Loose","4.92","9.95","16","4.92","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Final Fantasy XII: Revenant Wings","Square Enix","Square Enix","03/23/2019","Loose","12.15","19.99","29.95","12.15","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Fire Emblem: Shadow Dragon","Nintendo","Intelligent Systems Co., Ltd.","02/08/2020","Loose","48.13","66.8","152.5","48.13","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Kingdom Hearts Re:Coded","Square Enix","Square Enix","02/20/2020","Loose","10.99","19.62","36.34","10.99","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Okamiden","Capcom","Capcom","10/18/2019","Loose","27.48","40","54.77","27.48","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Phoenix Wright: Ace Attorney","Capcom","Capcom","03/06/2020","Loose","15.44","35.69","44.94","15.44","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Polarium","Nintendo","Mitchell Corporation","02/20/2019","CIB","3.01","3.62","8.71","3.62","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Prince Of Persia: The Fallen King","Ubisoft Entertainment","null","03/29/2020","Loose","4.45","7.67","9.99","4.45","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Professor Layton and the Curious Village","Nintendo","Level-5","08/18/2019","Loose","12.94","14.99","38.66","12.94","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Resident Evil: Deadly Silence","Capcom","Capcom","07/28/2019","CIB","56.5","80.49","168.3","80.49","45",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Safari Adventures: Africa","Conspiracy Entertainment Corporation","Conspiracy Entertainment Corp.","10/05/2020","Loose","3.43","4.79","8.5","3.43","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Super Mario 64 DS","Nintendo","Nintendo","06/11/2021","CIB","12.04","16.81","158.13","16.81","29.99",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"The Legend of Zelda: Phantom Hourglass","Nintendo","Nintendo EAD","03/08/2019","Loose","16","34.13","231.73","16","15",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"The Legend of Zelda: Spirit Tracks","Nintendo","Nintendo","03/31/2019","Loose","49.5","74.78","212.46","49.5","30",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Tron: Evolution","Disney Interactive","n-Space, Inc","02/20/2020","CIB","3.99","5.64","9.49","5.64","-1.0",?,?,?,No, 0%,""
"NDS","VideoGame",1,0,0,"Yoshi's Island DS","Nintendo","Artoon Co., Ltd.","07/27/2019","Loose","11.81","15.5","56","11.81","-1.0",?,?,?,No, 0%,""
"NDS","System",1,0,0,"Red Crimson & Black Nintendo DS Lite","MISSING FROM DB","MISSING FROM DB","02/19/2019","Loose","40.69","85.14","424.7","40.69","-1.0",?,?,?,"N/A","N/A",""
"NDS","System",1,0,0,"Metallic Rose Nintendo DS Lite","MISSING FROM DB","MISSING FROM DB","07/31/2019","Loose","50.95","61.64","95.01","50.95","-1.0",?,?,?,"N/A","N/A",""
"Saturn","VideoGame",1,0,0,"Blazing Dragons","Crystal Dynamics, Inc.","The Illusions Gaming Company","02/14/2020","Loose","17.28","42.83","65.5","17.28","10",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"NiGHTS into Dreams...","Sega","Sonic Team","02/14/2020","Loose","30.5","70.14","127.74","30.5","20",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"Panzer Dragoon II: Zwei","Sega","Team Andromeda","02/08/2020","Loose","71","127.45","227.2","71","-1.0",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"Sega Rally Championship","Sega","Sega AM3 R&D Division","02/20/2019","CIB","15.75","35.23","48.88","35.23","-1.0",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"Sonic 3D Blast","Sega","Sonic Team","02/19/2019","CIB","34.48","58.74","85.66","58.74","50",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"Soviet Strike","null","null","04/20/2019","CIB","13.99","24.99","44","24.99","25",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"Tomb Raider","Eidos Interactive","Core Design Ltd.","02/20/2019","Loose","16.2","33.38","254.63","16.2","-1.0",?,?,?,No, 0%,""
"Saturn","VideoGame",1,0,0,"Virtua Fighter 2","Sega","Sega","02/20/2019","Loose","7.16","21.31","83.77","7.16","-1.0",?,?,?,No, 0%,""
"Saturn","Peripheral",1,0,0,"Action Replay","MISSING FROM DB","MISSING FROM DB","05/18/2019","CIB","32.67","37.67","84","37.67","-1.0",?,?,?,"N/A","N/A",""
"Saturn","Peripheral",1,0,0,"Backup RAM Cart","MISSING FROM DB","MISSING FROM DB","03/07/2020","Loose","35.53","64.71","112","35.53","-1.0",?,?,?,"N/A","N/A",""
"Saturn","System",1,0,0,"Sega Saturn Console","MISSING FROM DB","MISSING FROM DB","02/19/2019","Loose","142.09","253.79","302.5","142.09","-1.0",?,?,?,"N/A","N/A",""
"Saturn","Peripheral",1,0,0,"Sega Saturn Controller","MISSING FROM DB","MISSING FROM DB","03/24/2019","Loose","20.05","36.09","62.95","20.05","-1.0",?,?,?,"N/A","N/A",""
"Saturn","Peripheral",1,0,0,"Sega Saturn Controller","MISSING FROM DB","MISSING FROM DB","05/18/2019","Loose","20.05","36.09","62.95","20.05","-1.0",?,?,?,"N/A","N/A",""
"Genesis","VideoGame",1,0,0,"Altered Beast","Sega","Sega CS R&D 2","02/19/2019","CIB","12.72","24.5","43.18","24.5","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Battle Squadron","Electronic Arts","Innerprise","02/19/2019","Loose","17.08","56.84","102.5","17.08","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Boogerman","Interplay Entertainment Corp.","Interplay Entertainment Corp.","02/08/2020","Loose","26.99","49.49","175","26.99","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"College Football's National Championship II","Sega","BlueSky Software","02/19/2019","Loose","4.46","6.82","10.79","4.46","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Columns","Sega","Sega CS R&D 2","02/19/2019","CIB","4.87","11.22","24.62","11.22","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Earthworm Jim","Playmates Interactive Entertainment, Inc.","Shiny Entertainment, Inc.","01/31/2020","CIB","22.49","62.42","194.5","62.42","30",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Eternal Champions","Sega","SEGA Interactive Development Division","02/23/2019","Loose","4.8","14.36","74","4.8","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Flashback: The Quest for Identity","U.S. Gold Ltd.","Delphine Software International","02/14/2020","Loose","9.99","25.06","69.83","9.99","10",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"General Chaos","Electronic Arts","Game Refuge Inc.","02/19/2019","CIB","19.24","35","88.09","35","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Golden Axe","Sega","Sega CS R&D 2","09/12/2020","CIB","14.75","43.55","90.84","43.55","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"James 'Buster' Douglas Knockout Boxing","Sega","Taito Corporation","09/18/2020","CIB","8.47","12.26","22.86","12.26","7",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Jurassic Park","Sega of America, Inc.","BlueSky Software","02/19/2019","Loose","9.9","10.6","64.7","9.9","-1.0",?,?,?,No, 0%,""
"Genesis","VideoGame",1,0,0,"Madden NFL '94","Electronic Arts","Electronic Arts","02/19/2019","Loose","5.68","8.48","33.7","5.68","-1.0",?,?,?,No, 0%,""
